starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 30 15:26:51 2023	1701347211	0	2	3	1
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	2
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	1	2	3	2
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	1	3	3	2
Thu Nov 30 15:26:51 2023	1701347211	1	3	3	2
Thu Nov 30 15:26:51 2023	1701347211	1	3	3	2
Thu Nov 30 15:26:51 2023	1701347211	1	3	3	2
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	3	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	3
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	1	4	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	1	3	4	3
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	4	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	4	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	4
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	1	5	5	5
Thu Nov 30 15:26:51 2023	1701347211	0	5	5	5
